Subject_Age_Group,Was_Weapon_Reported,Officer_Gender,Officer_Race,Subject_Perceived_Race,Subject_Perceived_Gender,Frisk_Flag,Officer_Age,Legal_Action_Taken,Arrested,Physical_Arrest,count
-,No Weapon Reported,M,White,Unknown,M,0,52,1,0,0,1
-,No Weapon Reported,M,Not Specified,White,M,0,30,1,0,0,1
-,No Weapon Reported,M,Not Specified,White,F,0,30,1,0,0,1
-,No Weapon Reported,M,Black or African American,Black or African American,M,1,48,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,0,32,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,32,1,0,0,1
-,No Weapon Reported,M,White,White,M,0,30,1,0,0,1
-,No Weapon Reported,M,Black or African American,White,M,0,45,1,0,0,1
-,Weapon Reported,M,White,Black or African American,M,1,36,1,1,0,1
-,Weapon Reported,M,White,Black or African American,F,1,36,1,0,0,1
-,Weapon Reported,M,White,Black or African American,M,1,36,1,0,0,1
-,Weapon Reported,M,White,Black or African American,M,1,36,1,0,0,1
-,Weapon Reported,M,White,Black or African American,M,1,36,1,0,0,1
-,No Weapon Reported,F,Asian,Unknown,M,0,31,1,0,0,1
-,No Weapon Reported,M,White,White,M,0,39,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,42,0,0,0,1
-,No Weapon Reported,M,White,Asian,M,1,42,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,28,1,1,0,1
-,No Weapon Reported,M,White,White,M,0,39,1,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,52,1,0,0,1
-,No Weapon Reported,M,White,White,F,0,39,1,0,0,1
-,No Weapon Reported,M,White,White,M,0,39,1,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Unknown,N,0,49,1,1,0,1
-,No Weapon Reported,M,Hispanic or Latino,Unknown,N,0,49,1,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Unknown,N,0,49,1,0,0,1
-,No Weapon Reported,M,White,Unknown,M,0,29,0,0,0,1
-,No Weapon Reported,M,White,Unknown,M,1,29,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,American Indian or Alaska Native,M,1,34,0,0,0,1
-,Weapon Reported,M,Black or African American,Unknown,M,1,31,0,0,0,1
-,Weapon Reported,M,Hispanic or Latino,White,M,1,35,1,1,0,1
-,Weapon Reported,M,Nat Hawaiian/Oth Pac Islander,Unknown,N,1,34,1,1,0,1
-,No Weapon Reported,M,White,Multi-Racial,N,0,67,1,0,0,1
-,No Weapon Reported,M,Nat Hawaiian/Oth Pac Islander,White,F,0,34,1,0,0,1
-,No Weapon Reported,F,Two or More Races,White,M,0,26,1,1,0,1
-,No Weapon Reported,M,Nat Hawaiian/Oth Pac Islander,Unknown,N,0,34,1,0,0,1
-,No Weapon Reported,M,White,White,F,1,24,1,1,0,1
-,No Weapon Reported,M,Black or African American,Unknown,N,0,31,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,0,29,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,40,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,0,29,1,1,0,1
-,No Weapon Reported,M,Not Specified,Unknown,M,0,28,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,0,30,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,30,0,0,0,1
-,No Weapon Reported,F,White,Multi-Racial,M,0,32,1,0,0,1
-,No Weapon Reported,F,White,Black or African American,M,0,32,1,0,0,1
-,No Weapon Reported,F,White,Hispanic,M,0,32,1,0,0,1
-,No Weapon Reported,M,White,White,M,0,29,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,29,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,29,1,1,0,1
-,No Weapon Reported,F,Asian,Asian,M,0,31,1,0,0,1
-,No Weapon Reported,M,White,Unknown,F,0,44,1,0,0,1
-,No Weapon Reported,M,Not Specified,Unknown,F,1,47,1,0,0,1
-,No Weapon Reported,M,Not Specified,Black or African American,F,1,47,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,1,47,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,0,47,1,0,0,1
-,Weapon Reported,M,Not Specified,Black or African American,M,1,28,1,1,0,1
-,No Weapon Reported,M,White,Unknown,M,0,29,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,29,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,47,0,0,0,1
-,No Weapon Reported,M,Asian,Unknown,N,0,33,0,0,0,1
-,No Weapon Reported,M,Black or African American,Unknown,N,0,48,0,0,0,1
-,No Weapon Reported,M,Nat Hawaiian/Oth Pac Islander,Unknown,N,1,34,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,41,0,0,0,1
-,No Weapon Reported,M,Not Specified,White,F,0,29,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,0,52,1,0,0,1
-,No Weapon Reported,F,White,Unknown,N,0,45,1,0,0,1
-,No Weapon Reported,F,White,Unknown,N,0,45,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,1,31,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,1,31,1,0,0,1
-,No Weapon Reported,F,Black or African American,Unknown,N,1,28,1,0,0,1
-,No Weapon Reported,M,Not Specified,Black or African American,M,0,55,1,0,0,1
-,No Weapon Reported,M,Black or African American,White,M,1,45,1,1,0,1
-,Weapon Reported,M,Black or African American,Black or African American,M,0,31,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,1,32,0,0,0,1
-,Weapon Reported,M,White,White,M,1,41,1,0,0,1
-,No Weapon Reported,M,Black or African American,Unknown,M,1,31,1,1,0,1
-,No Weapon Reported,M,White,Unknown,M,0,38,1,0,0,1
-,No Weapon Reported,M,Black or African American,White,F,0,52,1,0,0,1
-,No Weapon Reported,F,White,Asian,F,0,42,1,0,0,1
-,No Weapon Reported,F,White,Black or African American,M,0,42,1,0,0,1
-,No Weapon Reported,M,Black or African American,White,F,0,52,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,34,1,0,0,1
-,No Weapon Reported,M,White,White,M,1,39,1,0,0,1
-,No Weapon Reported,M,Black or African American,Hispanic,M,0,31,1,1,0,1
-,No Weapon Reported,M,Black or African American,Hispanic,M,0,31,1,1,0,1
-,No Weapon Reported,M,Black or African American,Hispanic,M,0,31,1,1,0,1
-,Weapon Reported,F,White,Asian,M,1,24,1,1,0,1
-,No Weapon Reported,M,White,White,M,1,25,1,1,0,1
-,Weapon Reported,M,White,Unknown,N,1,42,1,0,0,1
-,No Weapon Reported,F,White,Black or African American,M,0,45,1,0,0,1
-,No Weapon Reported,M,White,Asian,M,0,52,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,47,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,47,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,White,M,0,52,1,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,1,49,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,0,38,1,0,0,1
-,No Weapon Reported,M,Black or African American,Unknown,F,0,44,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,0,28,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,38,1,0,0,1
-,No Weapon Reported,M,Black or African American,Black or African American,M,0,31,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,0,23,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,23,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,23,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,23,1,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,White,M,0,39,1,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,White,M,0,39,1,0,0,1
-,No Weapon Reported,M,Asian,Unknown,M,1,41,0,0,0,1
-,No Weapon Reported,M,Asian,Unknown,M,1,41,0,0,0,1
-,No Weapon Reported,M,Black or African American,Black or African American,F,0,31,1,0,0,1
-,No Weapon Reported,M,Black or African American,Black or African American,M,0,31,1,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Unknown,M,1,43,1,1,0,1
-,No Weapon Reported,M,Hispanic or Latino,Unknown,M,1,43,1,1,0,1
-,No Weapon Reported,M,Black or African American,White,M,0,31,1,0,0,1
-,No Weapon Reported,M,Black or African American,White,F,0,31,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,1,38,1,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,White,M,1,49,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,1,28,1,1,0,1
-,No Weapon Reported,M,Black or African American,White,M,0,31,1,1,0,1
-,No Weapon Reported,M,White,White,M,1,24,1,0,0,1
-,No Weapon Reported,M,White,American Indian or Alaska Native,M,1,30,1,0,0,1
-,No Weapon Reported,M,White,American Indian or Alaska Native,M,1,30,1,0,0,1
-,Weapon Reported,M,Black or African American,Unknown,N,1,57,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,1,37,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,1,37,0,0,0,1
-,No Weapon Reported,F,White,White,F,0,32,0,0,0,1
-,No Weapon Reported,M,Asian,Unknown,N,0,56,0,0,0,1
-,No Weapon Reported,M,Not Specified,Black or African American,M,0,25,0,0,0,1
-,No Weapon Reported,M,White,White,M,0,28,0,0,0,1
-,No Weapon Reported,M,White,White,F,0,28,0,0,0,1
-,No Weapon Reported,M,Not Specified,White,M,0,37,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,31,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,53,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,45,0,0,0,1
-,No Weapon Reported,M,Asian,Unknown,N,0,56,0,0,0,1
-,No Weapon Reported,M,Asian,Unknown,N,0,56,0,0,0,1
-,No Weapon Reported,M,Asian,Unknown,N,0,56,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,37,0,0,0,1
-,No Weapon Reported,M,White,White,M,0,40,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,50,0,0,0,1
-,No Weapon Reported,M,Asian,Unknown,N,0,56,0,0,0,1
-,No Weapon Reported,M,White,White,M,0,45,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,33,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,33,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,33,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,33,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,33,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,33,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,33,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,33,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,33,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,33,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,F,0,33,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,33,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,33,0,0,0,1
-,No Weapon Reported,M,Two or More Races,American Indian or Alaska Native,M,0,29,0,0,0,1
-,No Weapon Reported,M,Two or More Races,Black or African American,M,0,29,0,0,0,1
-,No Weapon Reported,M,Two or More Races,Black or African American,M,0,29,0,0,0,1
-,No Weapon Reported,M,Black or African American,White,M,0,46,1,0,0,1
-,No Weapon Reported,M,Black or African American,White,F,1,53,0,0,0,1
-,No Weapon Reported,M,White,White,M,0,33,0,0,0,1
-,No Weapon Reported,M,White,White,F,0,33,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,33,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,F,1,33,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,1,33,0,0,0,1
-,No Weapon Reported,M,White,White,F,0,48,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,50,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,35,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,42,0,0,0,1
-,No Weapon Reported,M,White,American Indian or Alaska Native,M,0,33,0,0,0,1
-,No Weapon Reported,M,White,Unknown,M,0,28,0,0,0,1
-,No Weapon Reported,M,Not Specified,Multi-Racial,M,0,45,0,0,0,1
-,No Weapon Reported,M,Two or More Races,Black or African American,M,0,29,0,0,0,1
-,No Weapon Reported,M,Black or African American,Black or African American,M,0,32,0,0,0,1
-,No Weapon Reported,M,White,White,F,0,48,0,0,0,1
-,No Weapon Reported,M,White,Hispanic,F,0,48,0,0,0,1
-,No Weapon Reported,M,White,Hispanic,M,0,48,0,0,0,1
-,No Weapon Reported,M,Black or African American,Black or African American,M,0,32,0,0,0,1
-,No Weapon Reported,F,White,Unknown,N,0,45,1,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,White,M,0,48,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,50,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,50,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,1,50,0,0,0,1
-,No Weapon Reported,F,Asian,Black or African American,M,0,36,0,0,0,1
-,No Weapon Reported,M,White,White,M,1,33,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,37,0,0,0,1
-,No Weapon Reported,F,White,Unknown,N,0,45,0,0,0,1
-,No Weapon Reported,M,White,White,M,0,56,0,0,0,1
-,No Weapon Reported,F,White,White,M,0,31,1,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,22,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,25,0,0,0,1
-,No Weapon Reported,F,White,White,M,0,29,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,25,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,37,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,37,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,1,42,0,0,0,1
-,No Weapon Reported,M,White,White,M,0,22,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,24,0,0,0,1
-,No Weapon Reported,M,White,White,M,0,30,0,0,0,1
-,No Weapon Reported,M,White,White,M,0,52,1,0,0,1
-,No Weapon Reported,M,White,Unknown,M,0,26,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,26,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,26,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,39,0,0,0,1
-,No Weapon Reported,M,White,Hispanic,F,0,39,0,0,0,1
-,Weapon Reported,M,White,Unknown,N,1,28,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,39,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,White,F,0,50,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,50,0,0,0,1
-,No Weapon Reported,M,White,Unknown,M,0,34,0,0,0,1
-,No Weapon Reported,M,Black or African American,Black or African American,M,1,41,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,34,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,26,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,26,0,0,0,1
-,No Weapon Reported,F,White,Black or African American,M,0,49,1,0,0,1
-,No Weapon Reported,F,White,Black or African American,M,0,49,1,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,31,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,F,0,50,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,White,M,0,50,0,0,0,1
-,No Weapon Reported,M,White,White,F,0,35,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,24,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,0,37,0,0,0,1
-,No Weapon Reported,M,Black or African American,White,M,0,32,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,1,22,0,0,0,1
-,No Weapon Reported,M,White,Black or African American,M,1,54,0,0,0,1
-,No Weapon Reported,M,White,Hispanic,M,1,54,0,0,0,1
-,No Weapon Reported,M,White,White,M,1,54,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Hispanic,M,0,36,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,25,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,F,0,50,0,0,0,1
-,No Weapon Reported,M,Hispanic or Latino,Black or African American,M,0,50,0,0,0,1
-,No Weapon Reported,M,White,Unknown,M,0,24,0,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,34,0,0,0,1
-,No Weapon Reported,M,Two or More Races,White,M,0,30,0,0,0,1
-,No Weapon Reported,M,Two or More Races,White,M,0,30,0,0,0,1
-,Weapon Reported,M,White,Unknown,N,1,39,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,37,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,37,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,0,39,1,0,0,1
-,No Weapon Reported,M,White,Unknown,N,0,33,1,0,0,1
-,No Weapon Reported,M,Black or African American,Hispanic,M,0,32,1,1,0,1
-,No Weapon Reported,M,White,Black or African American,M,1,55,1,0,0,1
-,No Weapon Reported,M,Black or African American,White,M,0,32,0,0,0,1
-,No Weapon Reported,M,Black or African American,Hispanic,M,0,32,0,0,0,1
-,No Weapon Reported,M,White,Hispanic,M,0,28,1,0,0,1
-,No Weapon Reported,M,Not Specified,White,F,0,29,1,1,0,1
-,No Weapon Reported,M,White,White,M,1,42,1,1,0,1
-,No Weapon Reported,M,White,Unknown,N,0,28,0,0,0,1
-,No Weapon Reported,M,Black or African American,Black or African American,M,1,40,1,0,0,1
-,No Weapon Reported,M,White,Multi-Racial,M,0,54,1,0,0,1
